entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_apertura_efectiva,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,fecha_adjudicacion,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1496464,IDU-CMA-SGI-009-2020 (Presentación de oferta),701946188,CO1.BDOS.1261350,INTERVENTORIA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI (Presentación de oferta),INTERVENTORIA INTEGRAL PARA LA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI TRAMO 1 - ENTRE LA AVENIDA CIRCUNVALAR DEL SUR Y LA AVENIDA MANUEL CEPEDA VARGAS Y OBRAS COMPLEMENTARIAS EN BOGOTÁ D.C.,Presentación de oferta,2020-09-15,2020-09-15,2020-09-15,51675328137,Concurso de méritos abierto,Ley 1150 de 2007,93,Mes(es),2020-10-05,2020-11-13,2020-11-25,No Aplica,Subdirección General de Infraestructura,0,0,273,0,41,0,0,41,4,Seleccionado,70,Si,CO1.AWD.866928,711267385,No Definido,Bogotá,2020-11-27,13469113435,DTPS21,CONSORCIO HLS TRANSMILENIO,No Definido,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1450650'},701946188,Adjudicado
METRO DE BOGOTA SA,901038962,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1172193,GT-CD-080-2020,702380551,CO1.BDOS.1133447,Prestación de servicios profesional de apoyo a la gerencia técnica para el seguimiento a los componentes del tránsito; movilidad peatonal y seguridad vial de los proyectos de la empresa y para apoyar,"Prestación de servicios profesional de apoyo a la gerencia técnica para el seguimiento a los componentes del tránsito, movilidad peatonal y seguridad vial de los proyectos de la empresa y para apoyar la coordinación y articulación interinstitucional de estos.",Presentación de oferta,2020-02-26,2020-02-26,2020-02-26,99216000,Contratación directa,Servicios profesionales y apoyo a la gestión,304,día(s),,,,Bogotá,Gerencia General,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,704521665,Distrito Capital de Bogotá,Bogotá,,0,No Adjudicado,LUIS ERNESTO BALLESTEROS LARROTTA,1098661505,V1.81102200,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1134065'},702380551,Adjudicado
MINISTERIO DE TRANSPORTE*,899999055,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.5541617,CD-329 DE 2024,700612096,CO1.BDOS.5423931,PRESTAR LOS SERVICIOS PROFESIONALES PARA APOYAR DESDE EL COMPONENTE  TÉCNICO A LA SUBDIRECCIÓN DE TRANSPORTE EN LA FORMULACIÓN;  ACTUALIZACIÓN Y EJECUCIÓN DE LA POLÍTICA DE TRANSPORTE TERRESTRE  AUTOM,"PRESTAR LOS SERVICIOS PROFESIONALES PARA APOYAR DESDE EL COMPONENTE 
TÉCNICO A LA SUBDIRECCIÓN DE TRANSPORTE EN LA FORMULACIÓN, 
ACTUALIZACIÓN Y EJECUCIÓN DE LA POLÍTICA DE TRANSPORTE TERRESTRE 
AUTOMOTOR NACIONAL DE PASAJEROS POR CARRETERA Y EN EL DESARROLLO DEL 
PROCESO PARA LA ADJUDICACIÓN DE RUTAS Y HORARIOS DEL SERVICIO PÚBLICO DE 
TRANSPORTE TERRESTRE DE PASAJEROS Y MIXTO POR CARRETERA.",Presentación de oferta,2024-01-15,2024-01-15,2024-01-15,61656667,Contratación directa,Servicios profesionales y apoyo a la gestión,346,día(s),,,,Bogotá,Grupo Contratos,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,709383061,Distrito Capital de Bogotá,Bogotá,,0,No Adjudicado,Alejandro Gómez Corredor,80199031,V1.81102200,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5434645'},700612096,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.4496074,CMA-DEO-SGI-011-2023 (Presentación de oferta),700676059,CO1.BDOS.4329898,ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS; DE LAS DIRECCIÓNES TERRITORIALES HUILA; META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5 (Presentación de oferta),"ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS, DE LAS DIRECCIÓNES TERRITORIALES HUILA, META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5",Presentación de oferta,2023-05-09,2023-05-09,2023-05-09,3452062959,Concurso de méritos abierto,Ley 1150 de 2007,4,Mes(es),2023-05-26,2023-05-26,2023-05-26,Bogotá,Subdirección Gestión Integral de Carreteras Nacionales,0,0,241,0,105,1,0,104,9,Seleccionado,70,Si,CO1.AWD.1660050,721941334,Distrito Capital de Bogotá,Bogotá,2023-07-13,283776853,Enrique Carlos Illidge,UNION TEMPORAL ICG 2023,901735546,V1.81102200,Cerrado,Consultoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4397483'},700676059,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.4496074,CMA-DEO-SGI-011-2023 (Presentación de oferta),700676059,CO1.BDOS.4329898,ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS; DE LAS DIRECCIÓNES TERRITORIALES HUILA; META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5 (Presentación de oferta),"ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS, DE LAS DIRECCIÓNES TERRITORIALES HUILA, META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5",Presentación de oferta,2023-05-09,2023-05-09,2023-05-09,3452062959,Concurso de méritos abierto,Ley 1150 de 2007,4,Mes(es),2023-05-26,2023-05-26,2023-05-26,Bogotá,Subdirección Gestión Integral de Carreteras Nacionales,0,0,241,0,105,1,0,104,9,Seleccionado,70,Si,CO1.AWD.1660050,721941334,Distrito Capital de Bogotá,Bogotá,2023-07-13,283776853,Enrique Carlos Illidge,UNION TEMPORAL ICG 2023,901735546,V1.81102200,Cerrado,Consultoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4397483'},700676059,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1496464,IDU-CMA-SGI-009-2020 (Presentación de oferta),701946188,CO1.BDOS.1261350,INTERVENTORIA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI (Presentación de oferta),INTERVENTORIA INTEGRAL PARA LA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI TRAMO 1 - ENTRE LA AVENIDA CIRCUNVALAR DEL SUR Y LA AVENIDA MANUEL CEPEDA VARGAS Y OBRAS COMPLEMENTARIAS EN BOGOTÁ D.C.,Presentación de oferta,2020-09-15,2020-09-15,2020-09-15,51675328137,Concurso de méritos abierto,Ley 1150 de 2007,93,Mes(es),2020-10-05,2020-11-13,2020-11-25,No Aplica,Subdirección General de Infraestructura,0,0,273,0,41,0,0,41,4,Seleccionado,70,Si,CO1.AWD.866928,711280552,No Definido,Bogotá,2020-11-27,15349572479,DTPS21,CONSORCIO SUPERVISOR A - H,No Definido,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1450650'},701946188,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1496464,IDU-CMA-SGI-009-2020 (Presentación de oferta),701946188,CO1.BDOS.1261350,INTERVENTORIA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI (Presentación de oferta),INTERVENTORIA INTEGRAL PARA LA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI TRAMO 1 - ENTRE LA AVENIDA CIRCUNVALAR DEL SUR Y LA AVENIDA MANUEL CEPEDA VARGAS Y OBRAS COMPLEMENTARIAS EN BOGOTÁ D.C.,Presentación de oferta,2020-09-15,2020-09-15,2020-09-15,51675328137,Concurso de méritos abierto,Ley 1150 de 2007,93,Mes(es),2020-10-05,2020-11-13,2020-11-25,No Aplica,Subdirección General de Infraestructura,0,0,273,0,41,0,0,41,4,Seleccionado,70,Si,CO1.AWD.866928,711280552,No Definido,Bogotá,2020-11-27,15349572479,DTPS21,CONSORCIO SUPERVISOR A - H,No Definido,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1450650'},701946188,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.2460347,CMA-DO-SRT-180-2021 (Presentación de oferta),700676059,CO1.BDOS.2347852,INTERVENTORIA TECNICA; ADMINISTRATIVA; FINANCIERA Y AMBIENTAL PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS TERCIARIAS DEL PROGRAMA  COLOMBIA RURAL  EN LOS MUNICIPIOS DE LOS DEPARTAMENTOS DE CALDAS; CH,"INTERVENTORIA TECNICA, ADMINISTRATIVA, FINANCIERA Y AMBIENTAL PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS TERCIARIAS DEL PROGRAMA  COLOMBIA RURAL  EN LOS MUNICIPIOS DE LOS DEPARTAMENTOS DE CALDAS, CHOCÓ, NARIÑO, TOLIMA Y VALLE DEL CAUCA - GRUPOS 1 AL 6",Presentación de oferta,2021-11-17,2021-11-17,2021-11-17,4369000000,Concurso de méritos abierto,Ley 1150 de 2007,0,Mes(es),2021-11-26,2021-11-26,2021-12-22,Bogotá,Sudbirección Red Terciaria y Ferrea,0,0,272,0,136,0,0,138,6,Seleccionado,70,Si,CO1.AWD.1202418,704062793,Valle del Cauca,No Definido,2021-12-23,299443806,JUAN SEBASTIAN BUITRAGO NONSOQUE,GEICOL SAS,800256897,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2401346'},700676059,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.800259,CMA-DO-SRN-012-2019 (Presentación de oferta),700676059,CO1.BDOS.764279,ADMINISTRADORES VIALES CAQUETA (Presentación de oferta),ADMINISTRACIÓN VIAL DE LAS CARRETERAS A CARGO DE LA TERRITORIAL CAQUETÁ MÓDULOS 1 A 3,Presentación de oferta,2019-03-05,2019-03-05,2019-03-05,988853239,Concurso de méritos abierto,Ley 1150 de 2007,6,Mes(es),2019-03-21,2019-05-10,2019-05-10,Bogotá,Subdirección de la Red Nacional de Carreteras,0,0,167,0,70,0,0,72,3,Seleccionado,70,Si,CO1.AWD.504037,706807740,No Definido,No Definido,2019-05-22,323309196,Myriam Janneth Cadena Cruz,CONSORCIO ADMIVIAL BP,No Definido,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768780'},700676059,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.983781,CMA-DO-SRN-148-2019 (Presentación de oferta),700676059,CO1.BDOS.928730,ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVIAS DIRECCION TERRITORIAL META MÓDULOS 1 A 4 (Presentación de oferta),ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVIAS DIRECCION TERRITORIAL META MÓDULOS 1 A 4,Presentación de oferta,2019-10-08,2019-10-08,2019-10-08,7818677645,Concurso de méritos abierto,Ley 1150 de 2007,32,Mes(es),2019-10-25,2019-12-04,2019-12-04,Bogotá,Subdirección de la Red Nacional de Carreteras,0,0,256,0,135,0,0,137,4,Seleccionado,70,Si,CO1.AWD.628701,707908844,No Definido,Bogotá,2019-12-12,1942702401,Nilson Jairsihno Mariño Mariño,CONSORCIO TPF-CB 148,901349150,V1.81102200,Cerrado,Consultoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.950905'},700676059,Adjudicado
ALCALDIA LOCAL DE USME,899999061,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.262001,CM-028-FDLU2017 (Presentación de oferta),702234303,CO1.BDOS.244154,INTERVENTORÍA MALLA VIAL; ESPACIO PÚBLICO Y REDES (Presentación de oferta),"REALIZAR LA INTERVENTORÍA TÉCNICA ADMINISTRATIVA, FINANCIERA, JURÍDICA, AMBIENTAL Y SOCIAL DEL PROYECTO CUYO OBJETO ES CONTRATAR POR EL SISTEMA DE PRECIOS UNITARIOS LA CONSTRUCCIÓN DE LA MALLA VIAL, ESPACIO PUBLICO Y REDES FASE 1 LOCALIDAD DE USME, BOGOTÁ D. C.",Presentación de oferta,2017-11-24,2017-11-24,2017-11-24,1510136336,Concurso de méritos abierto,Ley 1150 de 2007,12,Mes(es),2017-12-18,2017-12-27,2017-12-27,Bogotá,CONTRATOS,0,0,92,0,8,0,0,8,0,Seleccionado,70,Si,CO1.AWD.218702,703387720,No Definido,No Definido,2017-12-28,1510000000,FREDY RICARDO INTRIAGO BOGOTA,CONSORCIO INTERSAVIMAC USME,No Definido,V1.81102200,Cerrado,Interventoría,No Definido,"V181101500, V181101600",{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.255119'},702234303,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.4496074,CMA-DEO-SGI-011-2023 (Presentación de oferta),700676059,CO1.BDOS.4329898,ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS; DE LAS DIRECCIÓNES TERRITORIALES HUILA; META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5 (Presentación de oferta),"ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS, DE LAS DIRECCIÓNES TERRITORIALES HUILA, META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5",Presentación de oferta,2023-05-09,2023-05-09,2023-05-09,3452062959,Concurso de méritos abierto,Ley 1150 de 2007,4,Mes(es),2023-05-26,2023-05-26,2023-05-26,Bogotá,Subdirección Gestión Integral de Carreteras Nacionales,0,0,241,0,105,1,0,104,9,Seleccionado,70,Si,CO1.AWD.1660050,721967701,No Definido,Bogotá,2023-07-13,382195352,Enrique Carlos Illidge,ZONA NORTE,901735468,V1.81102200,Cerrado,Consultoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4397483'},700676059,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.4496074,CMA-DEO-SGI-011-2023 (Presentación de oferta),700676059,CO1.BDOS.4329898,ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS; DE LAS DIRECCIÓNES TERRITORIALES HUILA; META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5 (Presentación de oferta),"ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS, DE LAS DIRECCIÓNES TERRITORIALES HUILA, META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5",Presentación de oferta,2023-05-09,2023-05-09,2023-05-09,3452062959,Concurso de méritos abierto,Ley 1150 de 2007,4,Mes(es),2023-05-26,2023-05-26,2023-05-26,Bogotá,Subdirección Gestión Integral de Carreteras Nacionales,0,0,241,0,105,1,0,104,9,Seleccionado,70,Si,CO1.AWD.1660050,721967701,No Definido,Bogotá,2023-07-13,382195352,Enrique Carlos Illidge,ZONA NORTE,901735468,V1.81102200,Cerrado,Consultoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4397483'},700676059,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.4496074,CMA-DEO-SGI-011-2023 (Presentación de oferta),700676059,CO1.BDOS.4329898,ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS; DE LAS DIRECCIÓNES TERRITORIALES HUILA; META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5 (Presentación de oferta),"ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS, DE LAS DIRECCIÓNES TERRITORIALES HUILA, META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5",Presentación de oferta,2023-05-09,2023-05-09,2023-05-09,3452062959,Concurso de méritos abierto,Ley 1150 de 2007,4,Mes(es),2023-05-26,2023-05-26,2023-05-26,Bogotá,Subdirección Gestión Integral de Carreteras Nacionales,0,0,241,0,105,1,0,104,9,Seleccionado,70,Si,CO1.AWD.1660050,721967701,No Definido,Bogotá,2023-07-13,382195352,Enrique Carlos Illidge,ZONA NORTE,901735468,V1.81102200,Cerrado,Consultoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4397483'},700676059,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.6810079,CMA-DTE-SPI-083-2024  (Presentación de oferta),700676059,CO1.BDOS.6554749,INTERVENTORÍA PARA LOS ESTUDIOS Y DISEÑOS PARA LA CONSTRUCCIÓN DE LAS OBRAS HIDRAULICAS Y/O ALTERNATIVAS QUE MEJORARAN LA TRANSITABILIDAD EN LA ALTA GUAJIRA; EN EL MARCO DE LA SENTENCIA T-302 (Present,"INTERVENTORÍA PARA LOS ESTUDIOS Y DISEÑOS PARA LA CONSTRUCCIÓN DE LAS OBRAS HIDRAULICAS Y/O ALTERNATIVAS QUE MEJORARAN LA TRANSITABILIDAD EN LA ALTA GUAJIRA, EN EL MARCO DE LA SENTENCIA T-302",Presentación de oferta,,,,798854140,Concurso de méritos abierto,Ley 1150 de 2007,0,Mes(es),2024-09-17,,2024-09-17,Bogotá,Subdirección de Planificación de Infraestructura,0,0,125,0,19,0,0,19,0,Seleccionado,70,Si,CO1.AWD.2043335,728424235,No Definido,Bogotá,2024-10-21,798511420,DANIELA JARAMILLO CARDONA,CONSORICO SUPERVISOR HIDROGUAJIRA,No Definido,V1.81102200,Abierto,Interventoría,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6693018'},700676059,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.983781,CMA-DO-SRN-148-2019 (Presentación de oferta),700676059,CO1.BDOS.928730,ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVIAS DIRECCION TERRITORIAL META MÓDULOS 1 A 4 (Presentación de oferta),ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVIAS DIRECCION TERRITORIAL META MÓDULOS 1 A 4,Presentación de oferta,2019-10-08,2019-10-08,2019-10-08,7818677645,Concurso de méritos abierto,Ley 1150 de 2007,32,Mes(es),2019-10-25,2019-12-04,2019-12-04,Bogotá,Subdirección de la Red Nacional de Carreteras,0,0,256,0,135,0,0,137,4,Seleccionado,70,Si,CO1.AWD.628701,707889606,No Definido,Puerto Rico,2019-12-12,1277023624,Nilson Jairsihno Mariño Mariño,CONSORCIO CM META 3,901348092,V1.81102200,Cerrado,Consultoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.950905'},700676059,Adjudicado
MUNICIPIO DE PAMPLONA,800007652,Norte de Santander,Pamplona,Nacional,Descentralizada,CO1.REQ.2240249,CMA-002-2021 (Presentación de oferta),704972165,CO1.BDOS.2154969,ESTUDIO DE CONSULTORIA Y DISEÑOS DE LOS PROYECTOS PRIORIZADOS CON CARGO AL SISTEMA GENERAL DE REGALIAS-SGR; EN LOS DIFERENTES TRAMOS DE LAS VIAS DEL  MUNICIPIO DE PAMPLONA  NORTE DE SANTANDER (Prese,"ESTUDIO DE CONSULTORIA Y DISEÑOS DE LOS PROYECTOS PRIORIZADOS CON CARGO AL SISTEMA GENERAL DE REGALIAS-SGR, EN LOS DIFERENTES TRAMOS DE LAS VIAS DEL  MUNICIPIO DE PAMPLONA  NORTE DE SANTANDER",Presentación de oferta,2021-08-18,2021-08-18,2021-08-18,115000000,Concurso de méritos abierto,Ley 1150 de 2007,2,Mes(es),2021-09-02,2021-09-09,,Pamplona,OFICINA JURIDICA PAMPLONA,0,0,31,0,0,0,0,0,0,Cancelado,100,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81102200,Cerrado,Consultoría,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2181333'},704972165,Presentación de oferta
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.4496074,CMA-DEO-SGI-011-2023 (Presentación de oferta),700676059,CO1.BDOS.4329898,ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS; DE LAS DIRECCIÓNES TERRITORIALES HUILA; META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5 (Presentación de oferta),"ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS, DE LAS DIRECCIÓNES TERRITORIALES HUILA, META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5",Presentación de oferta,2023-05-09,2023-05-09,2023-05-09,3452062959,Concurso de méritos abierto,Ley 1150 de 2007,4,Mes(es),2023-05-26,2023-05-26,2023-05-26,Bogotá,Subdirección Gestión Integral de Carreteras Nacionales,0,0,241,0,105,1,0,104,9,Seleccionado,70,Si,CO1.AWD.1660050,703411124,Distrito Capital de Bogotá,Bogotá,2023-07-13,485135673,Enrique Carlos Illidge,COPEBA S.A.S.,830011122,V1.81102200,Cerrado,Consultoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4397483'},700676059,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.2339900,CMA-DO-SRT-143-2021 (Presentación de oferta),700676059,CO1.BDOS.2227008,INTERVENTORIA TÉCNICA; ADMINISTRATIVA; FINANCIERA Y AMBIENTAL PARA EL MANTENIMIENTO; MEJORAMIENTO  Y REHABILITACIÓN PARA CORREDORES RURALES EN LOS MUNICIPIOS  DEPARTAMENTO DE CUNDINAMARCA GRUPO 1  (Pr,"INTERVENTORIA TÉCNICA, ADMINISTRATIVA, FINANCIERA Y AMBIENTAL PARA EL MANTENIMIENTO, MEJORAMIENTO  Y REHABILITACIÓN PARA CORREDORES RURALES EN LOS MUNICIPIOS   EN EL DEPARTAMENTO DE CUNDINAMARCA GRUPO 1 DEL PROGRAMA COLOMBIA RURAL",Presentación de oferta,2021-09-28,2021-09-28,2021-09-28,703139317,Concurso de méritos abierto,Ley 1150 de 2007,0,Mes(es),2021-10-11,2021-10-11,2021-11-10,Bogotá,Sudbirección Red Terciaria y Ferrea,0,0,236,0,100,0,0,100,0,Seleccionado,70,Si,CO1.AWD.1166207,704372564,Distrito Capital de Bogotá,No Definido,2021-11-23,703139311,Nikolas Bernal,INGENIEROS CONSTRUCTORES Y ASESORES SAS,900104908,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2281128'},700676059,Adjudicado
INSTITUTO DE FINANCIAMIENTO PROMOCIÓN Y DESARROLLO DE MANIZALES - INFI-MANIZALES,890801059,Caldas,Manizales,Territorial,Descentralizada,CO1.REQ.4993419,INFI-SCM-001-2023 (Presentación de oferta),704667187,CO1.BDOS.4839848,CONCURSO DE MERITOS ABIERTO (Presentación de oferta),"CONTRATAR LOS SERVICIOS DE CONSULTORÍA ESPECIALIZADOS QUE PERMITA DEFINIR UN NUEVO ESQUEMA DE ADMINISTRACIÓN, OPERACIÓN Y MANTENIMIENTO, ASI COMO ALTERNATIVAS DE GOBERNANZA Y DISTRIBUCIÓN DE COSTOS Y GASTOS PARA LOS PROPIETARIOS DE LAS LÍNEAS 1, 2 Y 3 QUE INTEGRARÁN EL SISTEMA DE CABLES DE AÉREOS DE MANIZALES Y VILLAMARÍA",Presentación de oferta,2023-08-29,2023-08-29,2023-08-29,546200868,Concurso de méritos abierto,Ley 1150 de 2007,0,día(s),2023-09-11,2023-09-11,2023-09-11,Manizales,GESTION CONTRACTUAL,0,0,42,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1719823,723226239,No Definido,Bogotá,2023-09-21,546200868,Daniel Muñoz,UT DELOITTE - D&O - IST CABLES,No Definido,V1.81102200,Cerrado,Consultoría,No Definido,"V180101500, V180101600, V180121600, V180141500, V181121500, V181131500, V184111500",{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4894457'},704667187,Adjudicado
